Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Email,Address 1,Address 2,Postcode
Alexander,Cunningham,Alex Cunningham,"Cunningham, Alex",Labour,Stockton North,alex.cunningham.mp@parliament.uk,House of Commons,London,SW1A 0AA
Matthew,Vickers,Matt Vickers,"Vickers, Matt",Conservative,Stockton South,matt.vickers.mp@parliament.uk,House of Commons,London,SW1A 0AA
Joanna,Gideon,Jo Gideon,"Gideon, Jo",Conservative,Stoke-on-Trent Central,jo.gideon.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jonathan,Gullis,Jonathan Gullis,"Gullis, Jonathan",Conservative,Stoke-on-Trent North,jonathan.gullis.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jack,Brereton,Jack Brereton,"Brereton, Jack",Conservative,Stoke-on-Trent South,jack.brereton.mp@parliament.uk,House of Commons,London,SW1A 0AA
William,Cash,Sir William Cash,"Cash, Sir William",Conservative,Stone,cashw@parliament.uk,House of Commons,London,SW1A 0AA
Suzanne,Webb,Suzanne Webb,"Webb, Suzanne",Conservative,Stourbridge,suzanne.webb.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Shannon,Jim Shannon,"Shannon, Jim",Democratic Unionist Party,Strangford,jim.shannon.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nadhim,Zahawi,Nadhim Zahawi,"Zahawi, Nadhim",Conservative,Stratford-on-Avon,nadhim.zahawi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Bellavia,Ribeiro-Addy,Bell Ribeiro-Addy,"Ribeiro-Addy, Bell",Labour,Streatham,bell.ribeiroaddy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Katherine,Green,Kate Green,"Green, Kate",Labour,Stretford and Urmston,kate.green.mp@parliament.uk,House of Commons,London,SW1A 0AA
Siobhan,Baillie,Siobhan Baillie,"Baillie, Siobhan",Conservative,Stroud,siobhan.baillie.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thérèse,Coffey,Dr Thérèse Coffey,"Coffey, Dr Thérèse",Conservative,Suffolk Coastal,therese.coffey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julie ,Elliott,Julie Elliott,"Elliott, Julie",Labour,Sunderland Central,julie.elliott.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Gove,Michael Gove,"Gove, Michael",Conservative,Surrey Heath,michael.gove.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Scully,Paul Scully,"Scully, Paul",Conservative,Sutton and Cheam,paul.scully.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Mitchell,Mr Andrew Mitchell,"Mitchell, Mr Andrew",Conservative,Sutton Coldfield,andrew.mitchell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Carolyn,Harris,Carolyn Harris,"Harris, Carolyn",Labour,Swansea East,carolyn.harris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Geraint,Davies,Geraint Davies,"Davies, Geraint",Labour,Swansea West,geraint.davies.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Pincher,Christopher Pincher,"Pincher, Christopher",Independent,Tamworth,christopher.pincher.mp@parliament.uk,House of Commons,London,SW1A 0AA
Esther,McVey,Esther McVey,"McVey, Esther",Conservative,Tatton,esther.mcvey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rebecca,Clark (Pow),Rebecca Pow,"Pow, Rebecca",Conservative,Taunton Deane,rebecca.pow.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lucy,Allan,Lucy Allan,"Allan, Lucy",Conservative,Telford,lucy.allan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Laurence,Robertson,Mr Laurence Robertson,"Robertson, Mr Laurence",Conservative,Tewkesbury,robertsonl@parliament.uk,House of Commons,London,SW1A 0AA
Geoffrey,Clifton-Brown,Sir Geoffrey Clifton-Brown,"Clifton-Brown, Sir Geoffrey",Conservative,The Cotswolds,cliftonbrowng@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Pritchard,Mark Pritchard,"Pritchard, Mark",Conservative,The Wrekin,pritchardm@parliament.uk,House of Commons,London,SW1A 0AA
Kevin,Hollinrake,Kevin Hollinrake,"Hollinrake, Kevin",Conservative,Thirsk and Malton,kevin.hollinrake.mp@parliament.uk,House of Commons,London,SW1A 0AA
Luke,Hall,Luke Hall,"Hall, Luke",Conservative,Thornbury and Yate,luke.hall.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jacqueline,Doyle-Price,Jackie Doyle-Price,"Doyle-Price, Jackie",Conservative,Thurrock,jackie.doyleprice.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Foord,Richard Foord,"Foord, Richard",Liberal Democrat,Tiverton and Honiton,richard.foord.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thomas,Tugendhat,Tom Tugendhat,"Tugendhat, Tom",Conservative,Tonbridge and Malling,tom.tugendhat.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rosena,Allin-Khan,Dr Rosena Allin-Khan,"Allin-Khan, Dr Rosena",Labour,Tooting,rosena.allinkhan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kevin,Foster,Kevin Foster,"Foster, Kevin",Conservative,Torbay,kevin.foster.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nicklaus,Thomas-Symonds,Nick Thomas-Symonds,"Thomas-Symonds, Nick",Labour,Torfaen,nick.thomassymonds.mp@parliament.uk,House of Commons,London,SW1A 0AA
Charles,Cox,Sir Geoffrey Cox,"Cox, Sir Geoffrey",Conservative,Torridge and West Devon,coxg@parliament.uk,House of Commons,London,SW1A 0AA
Anthony,Mangnall,Anthony Mangnall,"Mangnall, Anthony",Conservative,Totnes,anthony.mangnall.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Lammy,Mr David Lammy,"Lammy, Mr David",Labour,Tottenham,lammyd@parliament.uk,House of Commons,London,SW1A 0AA
Cherilyn,Mackrory,Cherilyn Mackrory,"Mackrory, Cherilyn",Conservative,Truro and Falmouth,cherilyn.mackrory.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gregory,Clark,Greg Clark,"Clark, Greg",Conservative,Tunbridge Wells,gregclarkmp@parliament.uk,House of Commons,London,SW1A 0AA
Munira,Wilson,Munira Wilson,"Wilson, Munira",Liberal Democrat,Twickenham,munira.wilson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alan,Campbell,Sir Alan Campbell,"Campbell, Sir Alan",Labour,Tynemouth,alan.campbell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Carla,Lockhart,Carla Lockhart,"Lockhart, Carla",Democratic Unionist Party,Upper Bann,carla.lockhart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Johnson,Boris Johnson,"Johnson, Boris",Conservative,Uxbridge and South Ruislip,boris.johnson.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Davies,Dr James Davies,"Davies, Dr James",Conservative,Vale of Clwyd,james.davies.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alun,Cairns,Alun Cairns,"Cairns, Alun",Conservative,Vale of Glamorgan,alun.cairns.mp@parliament.uk,House of Commons,London,SW1A 0AA
Florence,Eshalomi,Florence Eshalomi,"Eshalomi, Florence",Labour,Vauxhall,florence.eshalomi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Lightwood,Simon Lightwood,"Lightwood, Simon",Labour,Wakefield,simon.lightwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Angela,Eagle,Dame Angela Eagle,"Eagle, Dame Angela",Labour,Wallasey,eaglea@parliament.uk,House of Commons,London,SW1A 0AA
Edmund,Hughes,Eddie Hughes,"Hughes, Eddie",Conservative,Walsall North,eddie.hughes.mp@parliament.uk,House of Commons,London,SW1A 0AA
Valerie,Vaz,Valerie Vaz,"Vaz, Valerie",Labour,Walsall South,valerie.vaz.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stella,Creasy,Stella Creasy,"Creasy, Stella",Labour,Walthamstow,stella.creasy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Lavery,Ian Lavery,"Lavery, Ian",Labour,Wansbeck,ian.lavery.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Johnston,David Johnston,"Johnston, David",Conservative,Wantage,david.johnston.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Spellar,John Spellar,"Spellar, John",Labour,Warley,john.spellar.mp@parliament.uk,House of Commons,London,SW1A 0AA
Charlotte,Nichols,Charlotte Nichols,"Nichols, Charlotte",Labour,Warrington North,charlotte.nichols.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Carter,Andy Carter,"Carter, Andy",Conservative,Warrington South,andy.carter.mp@parliament.uk,House of Commons,London,SW1A 0AA
Matthew,Western,Matt Western,"Western, Matt",Labour,Warwick and Leamington,matt.western.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sharon,Hodgson,Mrs Sharon Hodgson,"Hodgson, Mrs Sharon",Labour,Washington and Sunderland West,sharon.hodgson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Dean,Russell,Dean Russell,"Russell, Dean",Conservative,Watford,dean.russell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Aldous,Peter Aldous,"Aldous, Peter",Conservative,Waveney,peter.aldous.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nusrat,Ul-Ghani,Ms Nusrat Ghani,"Ghani, Ms Nusrat",Conservative,Wealden,nusrat.ghani.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Amesbury,Mike Amesbury,"Amesbury, Mike",Labour,Weaver Vale,mike.amesbury.mp@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Bone,Mr Peter Bone,"Bone, Mr Peter",Conservative,Wellingborough,bonep@parliament.uk,House of Commons,London,SW1A 0AA
James,Heappey,James Heappey,"Heappey, James",Conservative,Wells,james.heappey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Grant,Shapps,Grant Shapps,"Shapps, Grant",Conservative,Welwyn Hatfield,shappsg@parliament.uk,House of Commons,London,SW1A 0AA
John,Healey,John Healey,"Healey, John",Labour,Wentworth and Dearne,john.healey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Bowie,Andrew Bowie,"Bowie, Andrew",Conservative,West Aberdeenshire and Kincardine,andrew.bowie.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nicola,Richards,Nicola Richards,"Richards, Nicola",Conservative,West Bromwich East,nicola.richards.mp@parliament.uk,House of Commons,London,SW1A 0AA
Shaun,Bailey,Shaun Bailey,"Bailey, Shaun",Conservative,West Bromwich West,shaun.bailey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Loder,Chris Loder,"Loder, Chris",Conservative,West Dorset,chris.loder.mp@parliament.uk,House of Commons,London,SW1A 0AA
Martin,Docherty-Hughes,Martin Docherty-Hughes,"Docherty-Hughes, Martin",Scottish National Party,West Dunbartonshire,martin.docherty.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lyn,Brown,Ms Lyn Brown,"Brown, Ms Lyn",Labour,West Ham,brownl@parliament.uk,House of Commons,London,SW1A 0AA
Rosemary,Cooper,Rosie Cooper,"Cooper, Rosie",Labour,West Lancashire,,House of Commons,London,SW1A 0AA
Matthew,Hancock,Matt Hancock,"Hancock, Matt",Conservative,West Suffolk,matt.hancock.mp@parliament.uk,House of Commons,London,SW1A 0AA
Órfhlaith,Begley,Órfhlaith Begley,"Begley, Órfhlaith",Sinn Féin,West Tyrone,,House of Commons,London,SW1A 0AA
Harriett,Baldwin,Harriett Baldwin,"Baldwin, Harriett",Conservative,West Worcestershire,harriett.baldwin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Karen,Buck,Ms Karen Buck,"Buck, Ms Karen",Labour,Westminster North,buckk@parliament.uk,House of Commons,London,SW1A 0AA
Timothy,Farron,Tim Farron,"Farron, Tim",Liberal Democrat,Westmorland and Lonsdale,farront@parliament.uk,House of Commons,London,SW1A 0AA
John,Penrose,John Penrose,"Penrose, John",Conservative,Weston-super-Mare,teresa.ridley@parliament.uk,House of Commons,London,SW1A 0AA
Lisa,Nandy,Lisa Nandy,"Nandy, Lisa",Labour,Wigan,lisa.nandy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Hammond,Stephen Hammond,"Hammond, Stephen",Conservative,Wimbledon,stephen.hammond.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Brine,Steve Brine,"Brine, Steve",Conservative,Winchester,steve.brine.mp@parliament.uk,House of Commons,London,SW1A 0AA
Adam,Afriyie,Adam Afriyie,"Afriyie, Adam",Conservative,Windsor,adam.afriyie.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alison,McGovern,Alison McGovern,"McGovern, Alison",Labour,Wirral South,alison.mcgovern.mp@parliament.uk,House of Commons,London,SW1A 0AA
Margaret,Greenwood,Margaret Greenwood,"Greenwood, Margaret",Labour,Wirral West,margaret.greenwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Priti,Patel,Priti Patel,"Patel, Priti",Conservative,Witham,withammp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Courts,Robert Courts,"Courts, Robert",Conservative,Witney,robert.courts.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jonathan,Lord,Mr Jonathan Lord,"Lord, Mr Jonathan",Conservative,Woking,jonathan.lord.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Redwood,John Redwood,"Redwood, John",Conservative,Wokingham,john.redwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jane,Stevenson,Jane Stevenson,"Stevenson, Jane",Conservative,Wolverhampton North East,jane.stevenson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Patrick,McFadden,Pat McFadden,"McFadden, Pat",Labour,Wolverhampton South East,mcfaddenp@parliament.uk,House of Commons,London,SW1A 0AA
Stuart,Anderson,Stuart Anderson,"Anderson, Stuart",Conservative,Wolverhampton South West,stuart.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robin,Walker,Mr Robin Walker,"Walker, Mr Robin",Conservative,Worcester,robin.walker.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Jenkinson,Mark Jenkinson,"Jenkinson, Mark",Conservative,Workington,mark.jenkinson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Barbara,Keeley,Barbara Keeley,"Keeley, Barbara",Labour,Worsley and Eccles South,,House of Commons,London,SW1A 0AA
Peter,Bottomley,Sir Peter Bottomley,"Bottomley, Sir Peter",Conservative,Worthing West,bottomleyp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Atherton,Sarah Atherton,"Atherton, Sarah",Conservative,Wrexham,sarah.atherton.mp@parliament.uk,House of Commons,London,SW1A 0AA
Steven,Baker,Mr Steve Baker,"Baker, Mr Steve",Conservative,Wycombe,steve.baker.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Wallace,Mr Ben Wallace,"Wallace, Mr Ben",Conservative,Wyre and Preston North,wallaceb@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Garnier,Mark Garnier,"Garnier, Mark",Conservative,Wyre Forest,mark.garnier.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Kane,Mike Kane,"Kane, Mike",Labour,Wythenshawe and Sale East,mike.kane.mp@parliament.uk,House of Commons,London,SW1A 0AA
Marcus,Fysh,Mr Marcus Fysh,"Fysh, Mr Marcus",Conservative,Yeovil,marcus.fysh.mp@parliament.uk,House of Commons,London,SW1A 0AA
Virginia,Crosbie,Virginia Crosbie,"Crosbie, Virginia",Conservative,Ynys Môn,virginia.crosbie.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rachael,Maskell,Rachael Maskell,"Maskell, Rachael",Labour,York Central,rachael.maskell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julian,Sturdy,Julian Sturdy,"Sturdy, Julian",Conservative,York Outer,julian.sturdy.mp@parliament.uk,House of Commons,London,SW1A 0AA
